identifier,title,date,type,publication_type,url,preferred_url,dossier_number,dossier_title
kst-28995-3,Wet dualisering gemeentelijke medebewindsbevoegdheden; Memorie van toelichting,2003-07-25,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28995/kst-28995-3/1/pdf/kst-28995-3.pdf,,28995,Aanpassing van bijzondere wetten aan de Wet dualisering gemeentebestuur (Wet dualisering gemeentelijke medebewindsbevoegdheden)
kst-29035-B,Wijziging van enkele belastingwetten c.a. (Overige fiscale maatregelen 2004); Advies en nader rapport,2003-09-15,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/29035/kst-29035-B/1/pdf/kst-29035-B.pdf,,29035,Wijziging van enkele belastingwetten c.a. (Overige fiscale maatregelen 2004)
kst-28808-1,Implementatiewet EG-kaderrichtlijn water; Voorstel van wet,2003-03-05,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28808/kst-28808-1/1/pdf/kst-28808-1.pdf,,28808,Wijziging van de Wet op de waterhuishouding en de Wet milieubeheer ten behoeve van de implementatie van richtlijn nr. 2000/60/EG van het Europees Parlement en de Raad van de Europese Unie van 23 oktober 2000 tot vaststelling van een kader voor communautaire maatregelen betreffende het waterbeleid (PbEG L 327) (Implementatiewet EG-kaderrichtlijn water)
kst-20022003-28897-278,Wijziging begrotingsstaten Ministerie van Binnenlandse Zaken en Koninkrijksrelaties (VII) 2002 (slotwet); Eindverslag,2003-09-02,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/20022003-28897/kst-20022003-28897-278/1/pdf/kst-20022003-28897-278.pdf,,28897,Wijziging van de begrotingsstaat van het Ministerie van Binnenlandse Zaken en Koninkrijksrelaties (VII) voor het jaar 2002 (slotwet)
kst-28600-XI-105,"Vaststelling begroting van het Ministerie van VROM (XI) voor het jaar 2003; Brief minister over de motie-Spies (28600 XI, nr. 77) inzake proefboringen in en onder Nationaal Park de Biesbosch",2003-04-25,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28600-XI/kst-28600-XI-105/1/pdf/kst-28600-XI-105.pdf,,28600-XI,"Vaststelling van de begrotingsstaat van het Ministerie van Volkshuisvesting, Ruimtelijke Ordening en Milieubeheer (XI) voor het jaar 2003"
kst-24095-146,Frequentiebeleid; Gewijzigde motie over kavel A8 voor landelijke commerciële radio-omroep,2003-06-26,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/24095/kst-24095-146/1/pdf/kst-24095-146.pdf,,24095,Frequentiebeleid
kst-28807-3,Vogelpestcrisis (Aviaire influenza); Brief minister over de maatregelen die zijn getroffen in het kader van de financiële en economische gevolgen van de uitbraak,2003-03-07,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28807/kst-28807-3/1/pdf/kst-28807-3.pdf,,28807,Vogelpestcrisis (Aviaire influenza)
kst-28625-4,Herziening van het Gemeenschappelijk Landbouwbeleid; Brief minister over de resultaten van het onderzoek naar de consequenties van de hervormingsvoorstellen,2003-04-01,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28625/kst-28625-4/1/pdf/kst-28625-4.pdf,,28625,Herziening van het Gemeenschappelijk Landbouwbeleid
kst-28619-65,Verslagen van de commissie voor de Verzoekschriften 2002-2003; Verslag over adres van K.J. Mostert te Nijkerk betreffende kwijtschelding van dan wel betalingsregeling voor een belastingaanslag,2002-12-12,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28619/kst-28619-65/1/pdf/kst-28619-65.pdf,,28619,Verslagen van de commissie voor de Verzoekschriften
kst-28870-39,Wet werk en bijstand; Amendement over voorwaarden met betrekking tot o.a. kinderopvang bij de verplichting beschikbaar te zijn voor de arbeidsmarkt van alleenstaande ouders,2003-08-25,Kamerstuk,{'OVERHEIDop.Parlementair': 'Kamerstuk'},https://repository.overheid.nl/frbr/officielepublicaties/kst/28870/kst-28870-39/1/pdf/kst-28870-39.pdf,,28870,Vaststelling van een wet inzake ondersteuning bij arbeidsinschakeling en verlening van bijstand door gemeenten (Wet werk en bijstand)
